week,year,month,week_number,sku,price,avg_price,price_difference,price_lag_1,price_lag_2,price_lag_difference_1,price_lag_difference_2,feat_main_page,vendor,weekly_sales,functionality_bluetooth tracker,functionality_digital pencils,functionality_fitness trackers,functionality_flash drives,functionality_headphones,functionality_mobile phone accessories,functionality_portable smartphone chargers,functionality_selfie sticks,functionality_smartphone stands,functionality_streaming sticks,functionality_vr headset,color_blue,color_gold,color_green,color_grey,color_none,color_pink,color_purple,color_red,color_white
2016-11-14,0,11,46,25,-0.8734995186114496,-0.7749085212702508,-0.4053966787050109,-0.8679971403102092,-0.8919785986936841,-0.031512089861604184,0.08066240401851506,0,8,653.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2016-11-14,0,11,46,17,-0.589902767455029,-0.5764735544313261,-0.15882736629723143,-0.12640391899795353,-0.42320099307647097,-2.3522257397110233,-0.7713642367129782,1,6,32.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,40,-0.8366626383613235,-0.5764735544313261,-0.7467722388084771,-0.8871396039578487,-0.884177458509434,0.2524368698773282,0.21467682449162717,0,5,102.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,18,1.5478169562910795,0.8080303056663123,1.9404350436617988,1.5498614470848475,1.5507238717262168,-0.003955861701285893,-0.00541189856177648,0,6,8.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,19,0.9898326740407699,0.4524618540319951,1.3799182214232073,1.422245022767251,1.5020258451215043,-2.188086467625649,-2.3555672234439147,1,6,29.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,20,-0.6860092434922174,-0.7817840773132462,0.056198318264515226,-0.7094219167600105,-0.7092427998323095,0.11585382595227213,0.10354291483099762,0,5,90.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-11-14,0,11,46,39,-0.5301609039724525,-0.5764735544313261,-0.01648281821556159,-0.5534462870385036,-0.5768598148874586,0.11585382595227213,0.21249772822377172,1,10,18.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-11-14,0,11,46,22,-0.7072612897903671,-0.7791825155672478,-6.434896144129313e-05,-0.6597933073031674,-0.66574553335043,-0.24357523700840175,-0.19499327386520346,0,2,93.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2016-11-14,0,11,46,23,-0.7875467980278219,-0.7749085212702508,-0.2006005700025292,-0.7637770604508388,-0.7636143829346591,-0.1237655493548439,-0.11436671195455059,0,4,11.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2016-11-14,0,11,46,38,-0.6080850737323349,-0.5764735544313261,-0.20214962006121792,-0.6314341018992571,-0.6548712167299601,0.11585382595227213,0.21249772822377172,0,10,6.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,24,-0.7332360130436613,-0.7817840773132462,-0.056327016187397806,-0.7094219167600105,-0.6856029810921576,-0.1237655493548439,-0.2233215253473247,0,5,38.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-11-14,0,11,46,16,-0.5301609039724525,-0.354711701090166,-0.4960760232254741,-0.5770789582084289,-0.5768598148874586,0.23566351360583015,0.21249772822377172,0,8,88.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,26,-0.08103432553822089,0.8080303056663123,-1.9405637415846817,-0.15641741138375873,-0.033143983863963646,0.3818313325431708,-0.22114242907946965,0,6,52.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,27,-0.6600345202389233,-0.354711701090166,-0.805520692968235,-0.6834259784730926,-0.7068788179582943,0.11585382595227192,0.21249772822377153,0,8,23.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,28,-0.7138730375275693,-0.3562552943927916,-0.9304613226546756,-0.6337973690162496,-0.6548712167299601,-0.4089126059703119,-0.2756198357758563,1,10,138.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,36,0.4077627393192237,-0.354711701090166,1.738677118989519,0.13780934468181122,0.0715804131549095,1.3702612556850247,1.5515523848209654,0,8,19.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-11-14,0,11,46,29,0.6410629809033567,-0.5764735544313261,2.7741454761918822,0.5187680039410069,0.6193150133642303,0.622648804726823,0.10354291483099762,0,6,14.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2016-11-14,0,11,46,2,0.5088280261593136,0.5606217836218742,-6.434896144129313e-05,0.48639124443820914,0.43823400181466626,0.11585382595227213,0.32798983042011176,0,1,2.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2016-11-14,0,11,46,35,-0.5341751793843251,-0.354711701090166,-0.5056406766538867,-0.6834259784730926,-0.6269762306165807,0.7544394611457363,0.42495961433968116,0,8,7.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
